timestamp,test-class,test-method,time,description,result
2022-02-25 23:10:38.228,acme.testing.FavouriteLinkTest,favouriteLink,3010,"favouriteLink()",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Anonymous']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Favourite link']'
2022-02-25 23:10:57.593,acme.testing.SignUpTest,positiveSignUp,18106,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com, phone=Cash & Carry, Co",OK
2022-02-25 23:11:11.736,acme.testing.SignUpTest,positiveSignUp,13372,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com, phone=Cash & Carry, Co",OK
2022-02-25 23:11:25.351,acme.testing.SignUpTest,positiveSignUp,13272,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es, phone=Networks, Inc.",OK
2022-02-25 23:11:38.31,acme.testing.SignUpTest,positiveSignUp,12216,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com, phone=Networks, Inc.",OK
2022-02-25 23:11:51.628,acme.testing.SignUpTest,positiveSignUp,12614,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw, phone=Baby Care, GmbH",OK
2022-02-25 23:12:05.18,acme.testing.SignUpTest,positiveSignUp,13181,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name, phone=Baby Care, GmbH",OK
2022-02-25 23:12:18.06,acme.testing.SignUpTest,positiveSignUp,12190,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com, phone=Like children",OK
2022-02-25 23:12:31.354,acme.testing.SignUpTest,positiveSignUp,12582,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com, phone=Good at WIS development",OK
2022-02-25 23:12:44.181,acme.testing.SignUpTest,positiveSignUp,12465,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com, phone=Good at playing the piano",OK
2022-02-25 23:12:57.816,acme.testing.SignUpTest,positiveSignUp,12980,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de, phone=N/A",OK
2022-02-25 23:13:10.551,acme.testing.SignUpTest,positiveSignUp,12316,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com, phone=Like spiders",OK
2022-02-25 23:13:24.009,acme.testing.SignUpTest,positiveSignUp,13108,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com, phone=Java EE, HTML, CSS, JavaScript, JSP",OK
